node,x,y
0,0.11831182936818227,-0.059153495950392349
1,0.20780897319387359,0.12905239999401941
2,0.066092336666891377,0.076147293520840098
3,-0.16365842812343889,0.045260263288723172
4,0.021915972031442438,-0.074631104915549445
5,-0.063729890544175508,-0.29021590313774015
6,0.17266425432741014,-0.12579138620199365
7,-0.044724029254614467,-0.13570816118266596
8,-0.18189751472228799,-0.20841166675964606
9,0.13474844512244982,0.18295317037811548
10,0.0563101460587754,0.10410746804077092
11,-0.13650957321212595,0.34390255804188619
12,0.18256047777866469,-0.19802862058817886
13,0.061749782060063423,0.2092415850502298
14,0.15240950523570873,-0.18885105299488417
15,0.34617740444060002,-0.35748406377253594
16,0.27789925765847318,-0.073280487331401203
17,-0.12470533579655721,-0.45711496526249262
18,0.18545325775069477,0.3213347777496065
19,-0.22177550393840989,-0.15603803730347665
20,-0.087040981497868319,-0.23631991891159299
21,-0.3176223573489817,-0.041356276437417266
22,0.36480374282151651,-0.19928641842439959
23,-0.08139606457411222,0.30565557156571577
24,-0.066333375064479033,0.56411921490332351
25,0.11966369299280642,-0.46241853953725104
26,0.2475301749093933,-0.29030953307432855
27,-0.10001381069887655,0.40819311335509889
28,0.24267927609326428,0.29958035143512363
29,-0.068716311017467502,-0.47615828048219855
30,0.096680402624614054,0.37718401111467714
31,-0.10894332062125653,0.058414159755771806
32,-0.10648425905859826,0.031149960157754709
33,0.17105444734889436,0.62184715225105214
34,-0.056982009512676526,0.47791321405499199
35,-0.15641133002946789,0.098984255577873603
36,-0.35306342291045306,-0.43757519774950532
37,0.086283161912194317,0.44671011433316415
38,0.095168309125808037,-0.33205522294557088
39,0.030727765284317941,-0.3504426185713046
40,-0.38405917492649316,0.50475907908785222
41,0.45794015951259931,-0.15045432149037952
42,-0.25299557135319339,0.4559387098226414
43,-0.13492936375080664,-0.59806504531296489
44,-0.2559611635131771,0.40361045824518976
45,0.36307854664895844,-0.11168601846671763
46,-0.33117886979576794,0.42051741056241593
47,0.0073026835586131114,0.010738631189353367
48,0.50026844887295474,-0.19925075548921994
49,0.53169377374064541,0.17850806282992601
50,-0.11874874853615663,0.45627620557959248
51,0.26947607554207398,0.25011710466502757
52,0.21052686326356504,-0.54632044413908198
53,-0.27105640603960462,0.24289700732558114
54,-0.43186804484854979,-0.020952182428422374
55,0.47596033746834893,-0.0078268927734287848
56,0.2754476338788579,-0.21199929090326233
57,0.37124775749891992,0.18410629114085431
58,-0.047163248691334467,-0.70536896705020224
59,-0.03357697355075015,-0.03483381685019634
60,0.41357015482200543,-0.07905845553397732
61,-0.041567883902646832,0.26145238656632364
62,-0.26526935556956999,0.28759382251010995
63,0.094703042874152682,0.32555858279185207
