N,k,gamma_left,gamma_right,boundary_source,gamma_resolution
10000000,4,0.73829999999999996,1.1111,refined k=4-10 window,0.001
10000000,6,0.80689999999999995,1.1103000000000001,refined k=4-10 window,0.001
10000000,8,0.84719999999999995,1.1073999999999999,refined k=4-10 window,0.001
10000000,10,0.87419999999999998,1.1052999999999999,refined k=4-10 window,0.001
10000000,20,0.93492357139203841,1.1014492111501197,0.001 boundary refinement,0.001
10000000,30,0.95824292481929063,1.0949190329861642,0.001 boundary refinement,0.001
