gamma,sample_count,threshold_mean,threshold_std,threshold_sem,margin_mean,margin_std,margin_sem,epsilon_mean,epsilon_std,epsilon_sem,epsilon_crit_mean,epsilon_crit_std,epsilon_crit_sem,degree_cv_mean,degree_cv_std,degree_cv_sem,degree_var_mean,degree_var_std,degree_var_sem,max_degree_fraction_mean,max_degree_fraction_std,max_degree_fraction_sem,S_N_mean,S_N_std,S_N_sem,relative_residual_max,threshold_RR,complete10
0.5,10,4.0310589745953518,0.00097991023677210004,0.0003098748250714,-0.0017755599745470001,6.0294826111811251e-05,1.9066898163711777e-05,-0.0016612861302374999,6.0093543983962085e-05,1.900324716608292e-05,0.0001142738443094,1.5133164278003311e-06,4.7855267323988017e-07,0.78604382844798482,0.0048705188903528001,0.0015401933080389999,9.8861799999999995,0.1227052276347219,0.038802800013515597,0.0043600000000000002,0.00053995884616839999,0.00017074997966480001,5676.5884905603261,32.405019135609287,10.247366808986609,9.9143883807586896e-07,4.0024019215372304,True
0.55000000000000004,10,4.0268571216070264,0.001223818207585,0.00038700529779529997,-0.0015167725756518001,7.5429487145134262e-05,2.3852898211701599e-05,-0.0013939852517342,7.712630710718176e-05,2.4389479797632658e-05,0.00012278732391749999,2.2088523209410883e-06,6.9850043491230779e-07,0.81577431427556579,0.0074362601286156998,0.0023515519279921999,10.648599999999998,0.1940115460481667,0.061351837788284597,0.0050999999999998998,0.00039721250959370001,0.0001256096245427,5499.6088347630703,44.538109939298721,14.084187008716761,9.8477328819842293e-07,4.0024019215372304,True
0.59999999999999998,10,4.0220664007586358,0.0007328851204612,0.00023175862439039999,-0.0012210874304064,4.5284973085656665e-05,1.432036587300984e-05,-0.0010892789343670999,4.6378697184182607e-05,1.4666231801325481e-05,0.00013180849603929999,2.9346155011547644e-06,9.2800690404855437e-07,0.84648032943241969,0.0093423696721693997,0.0029543166907335001,11.465719999999999,0.25242315794448572,0.079823211327700094,0.0050699999999999999,0.00045472824607420003,0.00014379769740080001,5323.7834840612804,55.699992899352942,17.613884321716114,9.9241004604035502e-07,4.0024019215372304,True
0.65000000000000002,10,4.0175336211987327,0.00097984528051009998,0.0003098542840978,-0.00094065706733779996,6.0680568439501959e-05,1.9188880598255543e-05,-0.00079696091379289995,6.3636118672236709e-05,2.0123507645703801e-05,0.00014369615354479999,4.3793620389649608e-06,1.3848758741608338e-06,0.88459434704377404,0.013295411831782801,0.0042043783818385,12.52266,0.3744146489299443,0.11840030799509491,0.0062399999999999999,0.00072907856610619998,0.00023055488621050001,5108.8512780232832,76.935625080328222,24.329180846261199,9.7586285922591502e-07,4.0024019215372304,True
0.69999999999999996,10,4.0124250782438482,0.0015005631363524999,0.00047451972837589997,-0.00062384496943300005,9.3192627028333564e-05,2.9470096254410303e-05,-0.00046544957152170002,9.5763405432008899e-05,3.0283047765928892e-05,0.00015839539791120001,5.3098766852219258e-06,1.679130441992622e-06,0.93016453970490143,0.015327139168034401,0.0048468669785365999,13.846679999999999,0.45644804694023561,0.1443415461866594,0.0077099999999999998,0.0015722948550164,0.00049720328952160004,4865.6854180774499,83.911651876603756,26.53519421572101,8.5862659051932895e-07,4.0024019215372304,True
0.75,10,4.0075465451808832,0.0016894972033984,0.00053426592632230003,-0.00032056352118450002,0.0001051506432397,3.3251553006939595e-05,-0.00014893794835769999,0.0001056485818683,3.3409015027061353e-05,0.00017162557282670001,4.1025168770058261e-06,1.2973297470619271e-06,0.9701825247025182,0.0108458267369674,0.0034297515596369002,15.06176,0.33803597178735589,0.1068963601916464,0.0075300000000000002,0.0009129317852087,0.0002886943789623,4664.9831760718862,58.995842547167655,18.656123492971943,9.595009831413941e-07,4.0024019215372304,True
0.80000000000000004,10,4.0018840537748535,0.0013285557886033,0.00042012622905870001,3.2342336694989377e-05,8.2924775172009177e-05,2.6223116400093008e-05,0.0002297256541858,8.1416839725339971e-05,2.5746265342495203e-05,0.0001973833174909,6.2346079425012163e-06,1.9715561416479937e-06,1.0420140000789349,0.015610667275136899,0.0049365264384487002,17.376200000000001,0.52256699729954836,0.16525019415016309,0.0097400000000000004,0.0015005184289289999,0.00047450559064730002,4319.7262604722036,76.71223857741181,24.258539831485628,9.8419245668939905e-07,4.0024019215372304,True
0.84999999999999998,10,3.994578140987592,0.0011340674532300001,0.00035862361724730001,0.00048912746305529995,7.1015023408888472e-05,2.245692220622625e-05,0.00071686297067419995,7.4737457641155724e-05,2.3634059267640726e-05,0.00022773550761869999,8.4964758054005501e-06,2.6868215629579298e-06,1.1228016752204488,0.020986718608344501,0.0066365831415407996,20.17728,0.75747834409821757,0.23953568456031299,0.010970000000000001,0.0012918978287774,0.00040853396431629998,3973.2999929711741,88.369744285637324,27.944966818926321,9.5144277199691505e-07,4.0024019215372304,True
0.90000000000000002,10,3.9898236334579451,0.001088137104173,0.00034409916557260001,0.00078724985588810004,6.832348505960254e-05,2.1605783046882917e-05,0.0010581445127014,7.2096049566697435e-05,2.2798772693115944e-05,0.00027089465681309999,1.6766603307823321e-05,5.302065507723494e-06,1.226450379710887,0.037445754944350498,0.011841387432865899,24.08708,1.4763475959271919,0.46686210212438528,0.0141999999999999,0.0030217728424074002,0.0009555684753648,3569.3358042808818,140.6664707425999,44.482643796405256,9.7522551033851798e-07,4.0024019215372304,True
0.94999999999999996,10,3.98417487322306,0.0018111823149828,0.00057274613731620003,0.0011423209616056001,0.0001140221790042,3.6056978942889372e-05,0.0014879332006701,0.0001145830496963,3.6234341828867172e-05,0.00034561223906449999,2.1204812477245088e-05,6.7055504784851846e-06,1.3894534538475349,0.0426757749543017,0.0134952649768361,30.915520000000001,1.897784650468952,0.60013220039884219,0.019789999999999999,0.0027954129092735,0.00088398717939420005,3031.976922653816,129.80423118376987,41.047702046776713,9.9925813659048009e-07,4.0024019215372304,True
1,10,3.9776316718217521,0.001197798090144,0.00037877701418539999,0.0015546461369438001,7.5668359407320482e-05,2.3928436253536136e-05,0.0020253726015118999,7.7301342333711099e-05,2.4444830796292281e-05,0.00047072646456810001,4.2220067024369337e-05,1.335115747619748e-05,1.6300357545265078,0.072932152376128406,0.0230631716167027,42.588859999999997,3.8292321598171322,1.210909531458803,0.027539999999999999,0.0068699344975043002,0.0021724640388278002,2426.790906293536,162.25081931494012,51.308214126365129,9.3241566463150004e-07,4.0024019215372304,True
1.05,10,3.972682727343281,0.0017051089398673999,0.00053920279086959997,0.0018670492104893,0.00010796499864,3.4141530327960112e-05,0.0025581489773401,0.0001232747251794,3.8982890949828285e-05,0.00069109976685070005,9.845937068856658e-05,3.1135586836269139e-05,1.987944041023179,0.1458156742086576,0.046110964905242802,63.536920000000002,9.2670089980892278,2.9304855531236922,0.038919999999999899,0.0078079446719351003,0.0024690889007890999,1806.0363349032341,213.94992580518439,67.656907076841676,8.8969571925491802e-07,4.0024019215372304,True
1.1000000000000001,10,3.9733928712508719,0.0045992673674643998,0.0014544160449274,0.0018209002181856001,0.00029161300911310001,9.2216130413285259e-05,0.0031595830821654,0.00011759955564899999,3.7188244767475132e-05,0.0013386828639797999,0.0003251499763765,0.0001028214506499,2.791570262112105,0.3612274163511352,0.11423013889675369,126.56482,31.55913166295225,9.9798737032066462,0.068080000000000002,0.020127968380120001,0.0063650224753029,1057.9720949921823,262.38966228948948,82.974896731717791,9.9094916882481397e-07,4.0024019215372304,True
1.1499999999999999,10,3.9829913923758062,0.0068292811640324001,0.0021596083260028002,0.0012139961390388999,0.00042914082954960002,0.00013570624583500001,0.0038456553392703001,0.0001153809993716,3.648667567210231e-05,0.0026316592002313,0.00048182013747500002,0.0001523649056956,3.9937584035093527,0.37232387991345578,0.1177391487797535,257.1979,48.647552347083419,15.383706800905369,0.10593,0.022212311401062598,0.0070241496124283003,553.19906647287314,89.509975097660529,28.305539461355981,8.9263278074270204e-07,4.0024019215372304,True
1.2,10,4.0662868899549691,0.039986669401478797,0.012644895135283499,-0.0038525394966031001,0.0023879149109029001,0.00075512499771309999,0.0044856500499146001,0.0001084711489875,3.4301589121612905e-05,0.0083381895465178997,0.0024698417470114999,0.00078103253807250005,7.2290890887499968,1.1737592488882866,0.37117526511754451,855.99469999999997,260.62291154821531,82.416201091696081,0.22445999999999999,0.059702153320555403,0.0188794785709539,194.46137775088991,70.40353919892847,22.263553920556028,9.5286335663726595e-07,4.0024019215372304,True
