N,sample,seed,avg_degree,edges,threshold,threshold_RR,delta_threshold,S_N,R_N,epsilon,epsilon_crit,margin_M,relative_residual,source_row
100,27,47361409,4,200,4.4974507559401298,4.2608695652173898,0.23658119072273801,51.439609667952297,12.992807228891801,0.0025837056844250999,0.014449395813663,-0.011865690129237799,3.0617576271136102e-07,27
100,90,110361598,4,200,4.5434856933380399,4.2608695652173898,0.28261612812064701,47.623902061279999,12.0416079819083,0.0028479914647433998,0.016833458279379199,-0.0139854668146358,8.7133543097534299e-07,90
100,93,113361607,4,200,4.4917205839589798,4.2608695652173898,0.23085101874158701,52.838496733240397,13.3182678653951,0.0020561463478690001,0.0136616253017822,-0.0116054789539131,5.5232707136517299e-07,93
100,120,140361688,4,200,4.5125815844718602,4.2608695652173898,0.25171201925446401,51.512356017068001,12.9720686983025,0.0018244107103994999,0.014407374724219201,-0.012582964013819699,7.6418460391885803e-07,120
100,134,154361730,4,200,4.4923734621936102,4.2608695652173898,0.23150389697621901,51.357530405645697,12.9869607950464,0.0028735453685037999,0.014496950884346001,-0.0116234055158422,7.4797027461374105e-07,134
100,160,180361808,4,200,4.4942536043722203,4.2608695652173898,0.233384039154832,52.713112417617303,13.2839898464215,0.0020054164356612999,0.0137305284846961,-0.011725112049034699,9.0296508036749799e-07,160
100,202,222361934,4,200,4.4861220838468396,4.2608695652173898,0.22525251862944901,52.117753867974301,13.171732270711701,0.0027302366882224001,0.014062223868771101,-0.011331987180548699,6.6794963628997299e-07,202
100,253,273362087,4,200,4.5581383400362396,4.2608695652173898,0.29726877481884501,46.372412587248498,11.7347667995818,0.0030549122822353999,0.017700834909949101,-0.0146459226277136,4.8288022235976603e-07,253
100,267,287362129,4,200,4.4862267506479796,4.2608695652173898,0.22535718543059199,53.560482753599203,13.493061789575901,0.0019219599205197,0.0132711450849861,-0.011349185164466299,8.5201955777357503e-07,267
100,285,305362183,4,200,4.5122856248924403,4.2608695652173898,0.25141605967505098,52.559651614971898,13.204887204966701,0.0012362011396063,0.013815308113584401,-0.012579106973978099,9.2648006169403405e-07,285
100,297,317362219,4,200,4.4747539924248603,4.2608695652173898,0.213884427207472,55.272210995661702,13.905059320495001,0.0015741467549836999,0.0123861340633951,-0.010811987308411399,5.6482451079448604e-07,297
100,307,327362249,4,200,4.5781325772656096,4.2608695652173898,0.317263012048216,45.332566665228498,11.465118254519901,0.00291129750467,0.018457953964368199,-0.0155466564596982,2.2025454375888701e-07,307
100,315,335362273,4,200,4.4635312271958902,4.2608695652173898,0.202661661978499,52.455694115226699,13.303985147915601,0.0036232790798919,0.013873021411661,-0.010249742331769099,8.4843268841275099e-07,315
100,339,359362345,4,200,4.5312147647043899,4.2608695652173898,0.27034519948700098,50.286713033609701,12.656460613677901,0.0016859792609388001,0.0151315847019125,-0.013445605440973601,9.7713104386475308e-07,339
100,358,378362402,4,200,4.5018890325530201,4.2608695652173898,0.24101946733562499,49.297441203682098,12.5061321196719,0.0036872465246279998,0.015742390567627801,-0.0120551440429997,3.4548090738655e-07,358
100,397,417362519,4,200,4.49266804438418,4.2608695652173898,0.231798479166788,51.683415760381799,13.058777256088201,0.0026686184332747999,0.014309030156147901,-0.0116404117228731,7.9022923163990302e-07,397
100,420,440362588,4,200,4.4859490168402898,4.2608695652173898,0.225079451622897,54.805909083165702,13.771401960676901,0.0012758604146026001,0.0126217464706896,-0.011345886056087001,1.24853731841028e-07,420
100,442,462362654,4,200,4.5060888076748098,4.2608695652173898,0.245219242457415,52.406313358285701,13.186267101077201,0.0016160030362517,0.013900515965625901,-0.012284512929374099,9.3798438530608103e-07,442
100,451,471362681,4,200,4.5286547041477796,4.2608695652173898,0.26778513893038403,49.417754472317398,12.4706049685848,0.0023507007096099999,0.015666799352948301,-0.013316098643338299,2.7368418047431899e-07,451
100,460,480362708,4,200,4.4257753974637302,4.2608695652173898,0.16490583224633401,61.836881365484899,15.5200899159087,0.00098435712140230005,0.0094462940878655005,-0.0084619369664631003,7.6970452787279495e-07,460
200,3,23462237,4,400,4.2433266531004099,4.125,0.11832665310040499,90.201129288527994,22.785845185673399,0.0026115289841646999,0.0092217207607382997,-0.0066101917765734996,6.8845755964870902e-07,503
200,9,29462255,4,400,4.2366531224236796,4.125,0.11165312242367501,90.416632587825404,22.869452657680199,0.0029341339433997002,0.0091816848525455002,-0.0062475509091456998,9.5456838905689704e-07,509
200,15,35462273,4,400,4.3310388321569198,4.125,0.20603883215692301,67.981930715994906,17.234665913876899,0.0035183354217667002,0.0147118047101871,-0.0111934692884204,8.25515967252922e-07,515
200,23,43462297,4,400,4.26480568057785,4.125,0.13980568057784601,83.956934182388295,21.217038213197501,0.0027133514321232999,0.010471012829888699,-0.0077576613977652998,6.0725683473682698e-07,523
200,29,49462315,4,400,4.2500299040900096,4.125,0.12502990409001,88.460010166703398,22.3433884167709,0.0025817979747529002,0.0095523380721651008,-0.0069705400974121997,4.0613180984976499e-07,529
200,66,86462426,4,400,4.2555724668599,4.125,0.13057246685990401,94.206833813684199,23.667316111390701,0.00122716848969,0.0085074866414090004,-0.0072803181517188996,3.4840225031213098e-07,566
200,71,91462441,4,400,4.2827395781819497,4.125,0.157739578181951,79.825953794529994,20.1720022888057,0.0026997966191287001,0.011404930322460099,-0.0087051337033312998,4.4677510157399902e-07,571
200,74,94462450,4,400,4.2600120316763599,4.125,0.135012031676356,87.651238578476907,22.105867700689,0.0022025707702563002,0.0097103816702377999,-0.0075078108999814003,9.1873162231015395e-07,574
200,102,122462534,4,400,4.27744926350592,4.125,0.152449263505918,82.732647685650903,20.874016406633299,0.0023068823561134002,0.010738070852754101,-0.0084311884966405994,8.1503908045595002e-07,602
200,161,181462711,4,400,4.3031553768831499,4.125,0.178155376883151,76.575058254820803,19.330319630806599,0.0024362380042934001,0.0122107309974474,-0.0097744929931539003,4.2129933516444802e-07,661
200,189,209462795,4,400,4.2594145258589,4.125,0.13441452585890401,87.049984294314797,21.967529545527199,0.0023553533479721001,0.0098297770424773997,-0.0074744236945052996,3.4518943874936598e-07,689
200,202,222462834,4,400,4.2665799536561,4.125,0.14157995365609799,82.784064276350193,20.934149874644,0.0028765657694878001,0.010726696264798399,-0.0078501304953104995,6.4651240888276904e-07,702
200,233,253462927,4,400,4.2448606864117302,4.125,0.11986068641172699,93.834875228471503,23.634367388656099,0.0018718901806024999,0.0085712401312504002,-0.0066993499506479001,6.0839726673836402e-07,733
200,298,318463122,4,400,4.2407145380394304,4.125,0.11571453803943101,94.215257163648801,23.745216995630301,0.0020315468054777001,0.0085060487130024995,-0.0064745019075247,7.9041470699624899e-07,798
200,340,360463248,4,400,4.2415126076546503,4.125,0.11651260765464801,91.857287459135605,23.185198787864799,0.0024045661393947001,0.0089188674786297006,-0.0065143013392348998,2.3006700947839899e-07,840
200,376,396463356,4,400,4.22900184332308,4.125,0.104001843323084,96.609901593878007,24.371686013884599,0.0022690284515198998,0.0081074331754431,-0.0058384047239230996,4.7964818868221498e-07,876
200,389,409463395,4,400,4.2706807556104298,4.125,0.14568075561042601,81.585014207521894,20.635205655846299,0.0029288724931515,0.0109956863330163,-0.0080668138398646994,7.2103256618318497e-08,889
200,402,422463434,4,400,4.2514996675182504,4.125,0.12649966751825201,89.003062119204301,22.464088415572601,0.0023968038929475998,0.0094478310410276,-0.0070510271480800002,7.2113574972512198e-07,902
200,443,463463557,4,400,4.2304995213993504,4.125,0.10549952139935,97.191291976719199,24.501195395631498,0.0020924961209528,0.0080136176073034998,-0.0059211214863506998,9.5457050641640001e-07,943
200,473,493463647,4,400,4.2455673119082,4.125,0.120567311908198,89.737685252908804,22.665715079534198,0.0025774429734298,0.0093084701696020001,-0.0067310271961721997,9.0901046876955999e-07,973
300,0,20563128,4,600,4.1820178996845101,4.0821917808219199,0.099826118862592794,127.05739022055199,31.903599976207101,0.0010959804921795999,0.0068513644949525004,-0.0057553840027728996,3.9596475743595198e-07,1000
300,2,22563134,4,600,4.1854916066805998,4.0821917808219199,0.103299825858686,114.39289367293399,28.852973112812599,0.0022269713301201,0.0081671503187368995,-0.0059401789886166997,7.7221608121986804e-07,1002
300,3,23563137,4,600,4.1990804370369101,4.0821917808219199,0.116888656214995,105.877857606517,26.738239526407501,0.0025385395100942999,0.0092287934409375008,-0.0066902539308431996,9.38204494792648e-07,1003
300,5,25563143,4,600,4.1522660169809402,4.0821917808219199,0.070074236159026498,128.34881494925801,32.428882415150497,0.0026621101096341001,0.0067317803633496001,-0.0040696702537154003,9.1406628814771795e-07,1005
300,8,28563152,4,600,4.1739588184608696,4.0821917808219199,0.091767037638947904,123.20587808721,31.038590012205201,0.0019245874797853,0.0072228964399638999,-0.0052983089601785997,9.02255665730657e-07,1008
300,11,31563161,4,600,4.1594821917097198,4.0821917808219199,0.077290410887799005,131.072321611007,33.030862898139297,0.0020048664138816999,0.0064873124663830002,-0.0044824460525013004,5.9418518211241895e-07,1011
300,13,33563167,4,600,4.16120123392108,4.0821917808219199,0.079009453099164503,118.911092385035,30.095515589330901,0.0030925835907828999,0.0076655703750804997,-0.0045729867842976002,3.9119330115482e-07,1013
300,15,35563173,4,600,4.1782114565402901,4.0821917808219199,0.096019675718370195,120.279973509134,30.308756930153699,0.0019850648940492001,0.0075210442722437,-0.0055359793781944999,4.3684472341673102e-07,1015
300,18,38563182,4,600,4.1767100175525602,4.0821917808219199,0.094518236730642996,122.88391291563499,30.942376295266399,0.0018016847047305001,0.007255009277651,-0.0054533245729204999,9.5887317801572702e-07,1018
300,19,39563185,4,600,4.1479860234230799,4.0821917808219199,0.065794242601163497,136.78933476191099,34.495126594271902,0.0021770184372381998,0.0060058059027873999,-0.0038287874655492,7.8960384456914198e-07,1019
300,25,45563203,4,600,4.1499493680409802,4.0821917808219199,0.0677575872190639,142.18775893639099,35.780595126505098,0.0016432876792990001,0.0055866758435989001,-0.0039433881642999,7.9546919976735396e-07,1025
300,27,47563209,4,600,4.1392634746049897,4.0821917808219199,0.057071693783074202,149.70096761348299,37.682910374197903,0.0017212211446255999,0.0050536664236982996,-0.0033324452790727001,6.9406551536117697e-07,1027
300,32,52563224,4,600,4.2070727049888497,4.0821917808219199,0.124880924166933,101.914538313162,25.7491826003758,0.0026546558181327002,0.0097834370648301992,-0.0071287812466974002,9.5398925905848804e-07,1032
300,33,53563227,4,600,4.1697849747768503,4.0821917808219199,0.087593193954936602,125.601489239662,31.642173411578401,0.0019251451804165,0.0069891277415146998,-0.0050639825610981999,9.2815002092054495e-07,1033
300,39,59563245,4,600,4.1533603298514796,4.0821917808219199,0.071168549029558797,127.35947049970601,32.18266204191,0.0026915502682174001,0.0068231749900572996,-0.0041316247218398999,3.6426466434924999e-07,1039
300,42,62563254,4,600,4.1773194751209903,4.0821917808219199,0.095127694299075694,119.07754677651501,30.026954885719,0.0021630290391671,0.0076478187032954,-0.0054847896641281998,7.9843278468103299e-07,1042
300,57,77563299,4,600,4.1949662335620799,4.0821917808219199,0.112774452740163,114.041091259509,28.708460865285002,0.0017378652573285999,0.0082078728395308005,-0.0064700075822020997,9.7425178753471692e-07,1057
300,69,89563335,4,600,4.1642880492568803,4.0821917808219199,0.082096268434956904,132.46450084626599,33.329365210524102,0.0016097897745844,0.0063662300993627997,-0.0047564403247783004,8.8315310916155705e-07,1069
300,78,98563362,4,600,4.1579647761410001,4.0821917808219199,0.075772995319082895,125.33557218543901,31.6624860655993,0.0026217059810712002,0.0070146355591841998,-0.0043929295781131002,6.4859785390241902e-07,1078
300,84,104563380,4,600,4.1515871348867801,4.0821917808219199,0.069395354064861095,140.04938028050901,35.252193522149398,0.0017125991671061,0.0057488335003356003,-0.0040362343332295001,9.0983431119467804e-07,1084
316,31,51579365,4,632,4.1561015568829802,4.0779220779220804,0.078179478960903395,132.81631619579301,33.4757267444188,0.0020452885854037,0.0065886580589112004,-0.0045433694735074999,3.9776995229283801e-07,1131
316,37,57579383,4,632,4.1511965659402001,4.0779220779220804,0.073274488018123293,137.102194225809,34.545361857492097,0.0019679721580198998,0.0062333601387656997,-0.0042653879807458004,6.5756402539585503e-07,1137
