network,N,offset,b_index,b,theory_bc_star,n_rep,mean_x,sd_x,min_x,max_x,mean_steps,converged_n,sem_x,sim_b50,sim_minus_theory,abs_error,completed_points,reps_per_point,delta,mutation_rate,source
BA,1000,-0.02,1,4.0261434839170001,4.0461434839169996,10,0.49653615926829997,0.0020995253284868901,0.493458806197,0.499916136723,1000000000000,0,0.00066392820432317702,4.0469246860797572,0.00078120216275756604,0.00078120216275756604,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
BA,1000,-0.01,2,4.0361434839169998,4.0461434839169996,10,0.49830594856620003,0.0024691371235963759,0.49544770392800003,0.50263218481500005,1000000000000,0,0.00078080971658412292,4.0469246860797572,0.00078120216275756604,0.00078120216275756604,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
BA,1000,0,3,4.0461434839169996,4.0461434839169996,10,0.4998593585362,0.0031417387947841723,0.495072318648,0.50481004135499996,1000000000000,0,0.00099350504048303164,4.0469246860797572,0.00078120216275756604,0.00078120216275756604,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
BA,1000,0.01,4,4.0561434839170003,4.0461434839169996,10,0.50165967950949997,0.00087915550163730283,0.500057114104,0.502818453645,1000000000000,0,0.00027801338026417678,4.0469246860797572,0.00078120216275756604,0.00078120216275756604,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
BA,1000,0.02,5,4.0661434839170001,4.0461434839169996,10,0.50402575331069999,0.0018881548750871854,0.50122207546899999,0.50674503619,1000000000000,0,0.00059708699804262232,4.0469246860797572,0.00078120216275756604,0.00078120216275756604,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
RR,1000,-0.02,1,4.0049934574510004,4.024993457451,10,0.49061666555540001,0.0020943178477141884,0.486165274009,0.49330732494700003,1000000000000,0,0.00066228145431184999,4.0249345326065313,-5.8924844468677406e-05,5.8924844468677406e-05,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
RR,1000,-0.01,2,4.0149934574510002,4.024993457451,10,0.4943391686443,0.0016111550305320651,0.49134348792799998,0.49654725101500002,1000000000000,0,0.00050949195601194522,4.0249345326065313,-5.8924844468677406e-05,5.8924844468677406e-05,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
RR,1000,0,3,4.024993457451,4.024993457451,10,0.50003355407759997,0.0025360964958900554,0.49584493243400002,0.50347449081600004,1000000000000,0,0.00080198412929844299,4.0249345326065313,-5.8924844468677406e-05,5.8924844468677406e-05,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
RR,1000,0.01,4,4.0349934574509998,4.024993457451,10,0.50498046686389997,0.001993933701396083,0.50174668413699997,0.50801688615899998,1000000000000,0,0.00063053719997816806,4.0249345326065313,-5.8924844468677406e-05,5.8924844468677406e-05,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
RR,1000,0.02,5,4.0449934574509996,4.024993457451,10,0.50942186950659996,0.0016976154521578795,0.50757027679,0.51195032457400003,1000000000000,0,0.00053683314199155037,4.0249345326065313,-5.8924844468677406e-05,5.8924844468677406e-05,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
BA,2000,-0.02,1,3.989400480404,4.0094004804040004,10,0.49520477743809999,0.003485861910675821,0.48763027808499998,0.499064605386,1000000000000,0,0.0011023263246562011,4.0100099193746654,0.00060943897066501052,0.00060943897066501052,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
BA,2000,-0.01,2,3.9994004804040002,4.0094004804040004,10,0.49812349484969998,0.0024875213440711187,0.49377101329799999,0.50141618926599996,1000000000000,0,0.00078662331755481184,4.0100099193746654,0.00060943897066501052,0.00060943897066501052,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
BA,2000,0,3,4.0094004804040004,4.0094004804040004,10,0.49983092611430002,0.0043678088399564984,0.49158379727099999,0.505794112914,1000000000000,0,0.0013812224318480398,4.0100099193746654,0.00060943897066501052,0.00060943897066501052,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
BA,2000,0.01,4,4.0194004804040002,4.0094004804040004,10,0.50260518069659998,0.0030998221104894513,0.498456581023,0.50875904271500005,1000000000000,0,0.00098024982104967886,4.0100099193746654,0.00060943897066501052,0.00060943897066501052,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
BA,2000,0.02,5,4.029400480404,4.0094004804040004,10,0.50647319240819999,0.0029111542339680307,0.50187970272799998,0.51154857494299999,1000000000000,0,0.00092058779993816947,4.0100099193746654,0.00060943897066501052,0.00060943897066501052,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
RR,2000,-0.02,1,3.9928513619619999,4.0128513619620003,10,0.48151333559089998,0.0021509583672474539,0.47773320607600001,0.48418059526399998,1000000000000,0,0.00068019275926988756,4.0132853856054744,0.00043402364347411293,0.00043402364347411293,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
RR,2000,-0.01,2,4.0028513619619996,4.0128513619620003,10,0.49184348905019998,0.0037407933060442868,0.486855486575,0.49731182157999998,1000000000000,0,0.0011829427103011263,4.0132853856054744,0.00043402364347411293,0.00043402364347411293,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
RR,2000,0,3,4.0128513619620003,4.0128513619620003,10,0.49955187992939998,0.0037690449992564099,0.49615633994800001,0.50751638751700001,1000000000000,0,0.0011918766801317889,4.0132853856054744,0.00043402364347411293,0.00043402364347411293,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
RR,2000,0.01,4,4.0228513619620001,4.0128513619620003,10,0.50987666470409998,0.0024990054853531269,0.50653582560400001,0.51380989718299996,1000000000000,0,0.00079025492189704308,4.0132853856054744,0.00043402364347411293,0.00043402364347411293,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
RR,2000,0.02,5,4.0328513619619999,4.0128513619620003,10,0.51918157276830001,0.0041008186472207692,0.51391832869999998,0.52845337027100003,1000000000000,0,0.0012967927196508152,4.0132853856054744,0.00043402364347411293,0.00043402364347411293,5,10,0.01,0.0001,organized N=1000/2000 10-replicate simulation workbook
