node,degree,shell,x,y,is_hub
0,44,0,-0.010141895003953086,0.018911414527257933,1
1,34,0,-0.010685811234852786,-0.079558491594791975,1
2,10,1,-0.059823190707697066,0.14126675792159865,0
3,18,1,-0.060850622966636285,0.16005826987035499,0
4,38,0,-0.04358667146086076,-0.0075479224504273468,1
5,27,0,0.086469742898380525,-0.010092627503899887,1
6,60,0,0.025357434143779417,0.031476014903349309,1
7,37,0,-0.03253045695664894,-0.048758136292451182,1
8,23,1,-0.13709014530289221,0.067504842999867629,0
9,19,1,-0.15487818671988549,0.074387739251237053,0
10,19,1,-0.057970903866651942,0.15967921907213078,0
11,27,0,0.063653511017979975,0.022760807534087379,1
12,17,1,-0.12402241083465575,-0.17068770557737892,0
13,10,2,-0.093421334538774992,0.29446951365321239,0
14,22,1,0.068156986525357219,0.15602827298713412,0
15,7,1,-0.10240268839471663,-0.16540547345188297,0
16,28,0,0.060895674160556329,-0.078863411344993389,1
17,14,2,0.12064869125688921,0.29515848379612397,0
18,12,1,0.10618299886026403,-0.21999332657501183,0
19,33,0,0.025357434143779417,-0.097517456476139908,1
20,20,1,-0.11983365589946457,-0.15633997545116293,0
21,5,1,0.12120973819696196,-0.20137642201060094,0
22,17,1,-0.016338537172036809,-0.21113130735544403,0
23,9,1,-0.17004787857691428,0.07517166642957876,0
24,12,1,-0.015549665422866413,-0.24439174599976918,0
25,6,2,0.10442345826490979,0.32575746894912794,0
26,12,1,0.069203577767551178,0.17572540536202336,0
27,7,1,0.061738377139996456,0.19326274720300768,0
28,15,1,-0.073140585280814838,0.17409063737638569,0
29,28,0,0.080646708913708537,-0.047913794663719506,1
30,7,1,0.060502893537475899,0.19722649587281588,0
31,4,1,-0.14816831513936252,0.040237493788827107,0
32,3,1,0.026981680638407363,0.17110729580170508,0
33,20,1,-0.050768110496232068,0.14904378947942515,0
34,23,1,0.18382876190723427,-0.12501788712686285,0
35,9,2,-0.10812975503749461,0.32186179394838654,0
36,13,1,0.069819173887666314,0.17065206634720434,0
37,19,1,-0.12461898777442432,-0.16578200962359765,0
38,17,1,-0.065351593050670648,0.16381427355897599,0
39,14,2,0.12344690591049132,0.3096131700156658,0
40,5,2,-0.11291729769275241,0.27405478390972671,0
41,9,1,-0.13320940893568031,-0.18534252994285086,0
42,7,1,-0.10799388870486668,-0.17702421027031831,0
43,8,2,0.10744224453223702,0.2915626793046015,0
44,5,2,0.089631701057171248,0.30886345361232515,0
45,3,1,-0.17323669908150768,-0.094476365741734042,0
46,8,1,0.059520465531618827,0.16949353405789414,0
47,3,1,0.025357434143779431,0.18083704173415555,0
